author,comment
@soutrikkundu1810,"913 carrier goals and counting for the legendary CR7 - mission 1000 is truly on ⚽️✨️❤️🫡

hooefully He reaches the 1k lanadmark by end of last year 👀🤔⚽️👍"
@VictorPereiraVicente,Age is just a number but in terms of skill CR7 is still the best 👏🔥
@fernandochavarria2921,CR7  GOAT
@TaraChetri-gr9cu,GOAT CR7🐐👑
@johnnysacamaca6205,CR7
@MdMahi-ne7sy,🐐
@attarplay,Subtitle must be CR7 vs Joselo as Ex Real Madrid player
@johnnysacamaca6205,O melhor jogador da história!
@willgoins218,Joselu y Cristiano leyendas
@Raymondcahyadi666,age just a number CR 37
@Sambigs9112,Not enough grass on the field to eat for the 🐐
@apipsupriatna9052,Angelo and cr 7 ❤❤
@reshamacharya3,💥💥💥💪💪💪
@thura3536,ido i Love cR7❤❤❤❤❤❤😊😊😊
@nasgorsaribumi0975,Real Madrid dari gurun pasir
@Mr.M_editz_gamerz,New duo = Ronaldo X Angelo 😮
@zhoushiu1789,Missed tio many chances
@TkmFootball,Football is all about goal scoring... So Ronaldo is the best..
@Mewtendo,CR7 AIRLINES 🐐
@ЗиёдаАбдураманова,Роналдо❤❤❤❤
@Broncos_758,I want to see him score against Al-Hilal. He just scores against very bad teams Al-grbhajksbvdmbh
@HapyShop-l2i,Ronaldo 913/1000 ⚽️🔥🔥🔥
@jugs081287000,He literally had the opportunity to score 4 goals.that missed header and near miss from penalty spot would have been enormous boost
@Ahmad-vp8ec,Shaun evans
@Hrishi8804,Tapin header 🤣
@Yoruu212,912goal✓
@princekunder3501,I love this guy!😭 🐐
@MichaelaSchneider-j7o,Wonderful Ronaldo ❤❤❤
@Blueflag04,The Madrid white shirt
@khaidirbabussalamKBS,Hadir❤
@agusyutub4277,Liga odong-odong😅😅😅
@MdSabbir-jh7mc,Cristiano is best all time ❤🇵🇹
@nauvalMubarok-p1t,CR7 ganteng banget njirrr 😅
@rezelandfamily827,I thought it was the Simpsons logo😂
@oddypratama6707,Liga negara yg kemarin dikalahi sama king indo
@jacksonombati4758,Farmers league button>>>>
@lukesamerson9600,His movement in the box is incredible
@sonertiryaki4082,Şu adam gol atıyor sanki ben atmışım gibi mutlu oluyorum
@tengkushameel2481,its proven that ronaldo is the real GOAT 🔥🔥
@hmachhuana675,Cristiano Ronaldo could have scored 3-4 goals...
@google.football-team_,❤❤❤goat 🐐👑
@فضلالحضرمي-خ4ص,الدوووون سيبقى الدوووون الافضل في العالم وألف ألف ألف مبروووك للعالمي الفوز 💛
@edsli7022,The GOAT.
@sakibhossainsojib6930,Mr Champions league is back ❤🎉
@eurooceania5562,Cr7 is the GOAT
@Fahadbos-ms6nv,Suiiiiii❤
@yanman208,Siuuuuuuu🎉🎉❤
@OriginalCivilizations,Kechrida you revealed this Liar World
@azharwains7,What a game from alnassr fc ❤🎉 with their leadership CR7 ❤
@hendraardis7367,Ronaldo is never end!!
@goodswolf,i dont know but when CR7 wearing Full white kit he looks more younger😂
@cecqminmofericq6301,my all time GOAT ...case closed❤❤
@Glad10101,hate him love him CR7❤✌️is my goat
@SizzlerRizzlerqt25,Angelo beautiful goal
@Nurchannel786,Siuuuuuuu
@ZulMayza,Siuuuuuuuuuu
@mdsadik752,Cr7❤❤
